[2019-11-13 09:03:48 771] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 09:03:48 841] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-13 13:47:48 074] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 13:47:48 131] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-13 14:12:06 048] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 14:12:06 106] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-13 14:24:32 492] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 14:24:32 547] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-13 14:28:20 375] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 14:28:20 438] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-13 14:30:58 568] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-13 14:30:58 638] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
